	T0A	T0B	T14A	T14B
ENSG00000000003	1573	1152	1765	1506
ENSG00000000005	0	0	379	393
ENSG00000000419	1951	1655	1887	1721
ENSG00000000457	534	355	554	508
ENSG00000000460	127	79	153	144
ENSG00000000938	10	0	389	346
ENSG00000000971	1709	1073	9803	10161
ENSG00000001036	4494	3080	2344	2270
ENSG00000001084	1283	965	2987	3257
ENSG00000001167	1428	925	1518	1538
ENSG00000001460	875	535	355	350
ENSG00000001461	2006	1144	1184	1155
ENSG00000001497	1645	940	1490	1525
ENSG00000001561	89	92	251	293
ENSG00000001617	319	127	95	69
ENSG00000001626	4	10	0	0
ENSG00000001629	4631	3352	3745	3779
ENSG00000001630	186	87	175	97
ENSG00000001631	1467	1096	1671	1728
ENSG00000002016	490	329	394	469
ENSG00000002079	2	0	4	2
ENSG00000002330	302	112	207	128
ENSG00000002549	3103	2011	3962	3834
ENSG00000002586	29885	16316	16354	14815
ENSG00000002587	0	0	0	0
ENSG00000002726	1	0	0	0
ENSG00000002745	10	0	3	6
ENSG00000002746	43	26	193	182
ENSG00000002822	891	514	563	521
ENSG00000002834	38682	21371	20171	18831
ENSG00000002919	1249	702	1321	1307
ENSG00000002933	251	157	1954	1810
ENSG00000003056	3475	2024	3690	3491
ENSG00000003096	28	29	23	34
ENSG00000003137	43	27	767	647
ENSG00000003147	14	1	812	763
ENSG00000003249	18	19	16	2
ENSG00000003393	2290	1562	1819	1794
ENSG00000003400	224	167	195	143
ENSG00000003402	3233	2036	8888	8926
ENSG00000003436	184	167	1084	1023
ENSG00000003509	620	471	821	744
ENSG00000003756	4340	2835	3619	3575
ENSG00000003987	13	10	29	22
ENSG00000003989	25	19	65	80
ENSG00000004059	3769	2022	2746	2329
ENSG00000004139	196	102	104	113
ENSG00000004142	7016	3791	8506	8222
ENSG00000004399	7294	3718	27043	22441
ENSG00000004455	5103	3041	5328	5291
ENSG00000004468	4	6	110	95
ENSG00000004478	3582	1965	3897	3648
ENSG00000004487	5993	3897	3722	3708
ENSG00000004534	3068	1977	2853	2757
ENSG00000004660	704	436	118	72
ENSG00000004700	2802	2037	2741	2948
ENSG00000004766	1179	992	1060	1159
ENSG00000004776	2074	808	4003	3167
ENSG00000004777	26	28	49	45
ENSG00000004779	1746	1091	3850	4006
ENSG00000004799	103	76	8923	9325
ENSG00000004809	1	0	2	6
ENSG00000004838	10	4	10	14
ENSG00000004846	1	0	0	4
ENSG00000004848	0	0	0	0
ENSG00000004864	815	541	1334	1483
ENSG00000004866	1214	747	1153	1130
ENSG00000004897	3794	3167	3471	3557
ENSG00000004939	0	0	0	0
ENSG00000004948	0	0	6	6
ENSG00000004961	1517	982	1680	1512
ENSG00000004975	2352	1264	2380	2044
ENSG00000005001	0	1	0	0
ENSG00000005007	4156	2358	6060	4857
ENSG00000005020	2134	1590	2214	2225
ENSG00000005022	8485	5227	10650	10323
ENSG00000005059	2092	1599	405	364
ENSG00000005073	161	78	154	159
ENSG00000005075	682	308	508	414
ENSG00000005100	1504	1077	1216	1295
ENSG00000005102	0	2	0	0
ENSG00000005108	4	0	36	45
ENSG00000005156	1756	974	634	594
ENSG00000005175	1236	985	1099	1180
ENSG00000005187	24	12	53	45
ENSG00000005189	158	59	197	188
ENSG00000005194	1983	1132	2559	2530
ENSG00000005206	735	363	588	405
ENSG00000005238	2564	1428	3394	3093
ENSG00000005243	3559	2114	1792	1594
ENSG00000005249	36	16	16558	16762
ENSG00000005302	1854	1357	1118	1164
ENSG00000005339	7775	4188	3523	3348
ENSG00000005379	35	22	30	24
ENSG00000005381	0	2	0	0
ENSG00000005421	0	0	0	0
ENSG00000005436	428	425	540	582
ENSG00000005448	612	314	261	230
ENSG00000005469	584	454	430	470
ENSG00000005471	78	24	38	25
ENSG00000005483	4107	2469	3236	3236
ENSG00000005486	2139	1212	2584	2216
ENSG00000005513	6	4	10	18
ENSG00000005700	5806	4976	5380	5776
ENSG00000005801	817	591	814	809
ENSG00000005810	5160	3373	21876	22855
ENSG00000005812	1552	1320	1530	1503
ENSG00000005844	4	5	10	5
ENSG00000005882	953	432	1828	1594
ENSG00000005884	1090	563	602	465
ENSG00000005889	1469	1039	1660	1584
ENSG00000005893	9845	7072	8506	8532
ENSG00000005961	4	6	5	0
ENSG00000005981	0	0	8	0
ENSG00000006007	3822	2522	8426	8565
ENSG00000006015	316	158	626	587
ENSG00000006016	309	118	9916	7798
ENSG00000006025	314	165	29	39
ENSG00000006042	4326	2731	2549	2418
ENSG00000006047	4	0	285	245
ENSG00000006059	0	0	0	0
ENSG00000006062	387	215	304	261
ENSG00000006071	0	0	0	0
ENSG00000006116	0	0	0	0
ENSG00000006118	1058	456	456	370
ENSG00000006125	14951	8961	11519	11423
ENSG00000006128	4	2	0	6
ENSG00000006194	1750	1116	1307	1375
ENSG00000006210	0	0	63	75
ENSG00000006282	2851	1430	1988	1648
ENSG00000006283	25	10	77	70
ENSG00000006327	6833	4224	1700	1592
ENSG00000006377	0	0	0	0
ENSG00000006432	6	0	24	26
ENSG00000006451	6674	5400	3235	3298
ENSG00000006453	239	193	98	80
